Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,mobile_uses
7,99,Yes,9,1,91,0
4,82,No,4,2,65,2
8,51,Yes,7,2,45,2
5,52,Yes,5,2,36,3
7,75,No,8,5,66,2
3,78,No,9,6,61,2
7,73,Yes,5,6,63,2
8,45,Yes,4,6,42,2
5,77,No,8,2,61,2
4,89,No,4,0,69,2
8,91,No,4,5,84,1
8,79,No,6,2,73,1
3,47,No,9,2,27,3
6,47,No,4,2,33,3
5,79,No,7,8,68,2
2,72,No,4,3,43,2
8,73,Yes,8,4,67,2
6,83,Yes,7,2,70,1
2,54,Yes,4,9,30,3
5,75,No,7,0,63,2
1,99,Yes,4,3,71,1
6,96,No,9,0,85,1
9,74,Yes,7,6,73,1
1,85,No,5,6,57,2
3,61,No,6,3,35,3
7,62,Yes,7,4,49,2
4,79,No,8,9,66,2
9,84,Yes,6,6,83,1
3,94,Yes,6,5,74,1
5,90,Yes,4,3,74,1
3,61,Yes,7,3,39,3
7,44,Yes,9,1,36,3
5,70,Yes,6,9,58,2
9,52,Yes,8,1,47,2
7,67,Yes,9,3,60,2
2,97,Yes,9,4,74,1
4,59,No,8,3,42,2
9,72,No,8,2,68,2
2,55,Yes,4,1,32,3
9,68,No,5,3,64,2
5,62,No,7,4,45,2
2,63,Yes,6,0,39,3
4,73,Yes,7,0,58,2
7,46,No,9,5,36,3
8,77,Yes,6,4,71,1
3,76,Yes,4,3,54,2
1,43,Yes,7,0,17,3
4,73,No,4,6,54,2
2,81,Yes,4,3,58,2
8,61,No,7,2,53,2
4,44,Yes,7,6,27,3
2,89,Yes,6,1,65,2
6,81,No,9,9,75,1
6,62,Yes,9,0,52,2
4,93,No,8,3,78,1
6,99,No,4,7,91,0
2,54,Yes,9,5,33,3
2,70,Yes,5,8,47,2
4,98,No,6,0,78,1
8,48,No,6,0,38,3
7,82,Yes,8,4,70,1
9,97,Yes,8,5,98,0
8,92,Yes,4,7,87,1
5,64,Yes,6,2,49,2
2,64,Yes,6,5,41,2
5,88,No,5,2,71,1
8,60,No,4,7,54,2
9,48,No,4,3,42,2
9,94,No,9,1,91,0
1,87,Yes,8,8,61,2
9,77,No,9,9,74,1
7,61,Yes,4,7,54,2
9,82,Yes,5,5,81,1
8,62,Yes,4,2,52,2
1,88,Yes,9,1,65,2
8,43,Yes,7,3,36,3
8,68,No,7,3,61,2
3,54,Yes,5,0,35,3
1,40,Yes,8,8,15,3
8,93,Yes,6,9,88,1
3,69,No,4,7,45,2
3,68,Yes,9,6,49,2
1,59,Yes,8,5,33,3
5,72,Yes,9,2,60,2
7,80,No,8,3,71,1
9,83,Yes,4,1,81,1
7,75,No,6,6,67,2
9,99,No,4,1,95,0
8,61,Yes,6,9,58,2
2,52,No,9,0,29,3
1,46,No,5,5,21,3
7,47,Yes,6,3,38,3
7,67,Yes,8,7,60,2
8,84,Yes,5,0,76,1
5,82,Yes,9,8,69,2
3,48,No,7,5,30,3
8,64,No,5,1,57,2
6,95,Yes,6,7,81,1
3,55,Yes,5,4,36,3
1,49,Yes,9,4,25,3
3,50,No,5,4,27,3
5,70,Yes,9,6,61,2
3,51,No,7,6,34,3
1,99,No,6,9,76,1
5,70,No,8,6,57,2
7,53,No,5,9,45,2
7,90,Yes,4,1,76,1
9,83,Yes,8,7,83,1
3,71,Yes,5,0,50,2
7,89,No,8,1,81,1
1,92,No,4,6,66,2
4,56,Yes,8,3,38,3
4,74,No,8,9,56,2
5,40,No,4,9,25,3
7,68,No,4,8,56,2
7,90,Yes,4,8,82,1
4,43,Yes,7,2,23,3
7,62,Yes,9,2,56,2
3,67,No,9,8,46,2
6,55,Yes,4,9,43,2
2,51,Yes,9,7,30,3
9,92,Yes,8,0,92,0
5,60,No,4,5,45,2
6,84,No,5,6,70,1
4,56,No,4,7,36,3
7,79,No,4,1,71,1
9,52,No,9,0,49,2
7,91,Yes,6,3,82,1
1,97,Yes,8,0,71,1
1,71,No,9,1,43,2
9,76,No,8,2,77,1
9,89,Yes,5,3,86,1
4,54,No,7,5,34,3
9,51,No,6,7,49,2
3,88,No,5,8,69,2
7,96,No,5,3,84,1
6,54,No,8,0,41,2
8,73,Yes,6,4,68,2
9,45,Yes,8,4,44,2
5,56,No,7,8,41,2
1,87,No,8,5,58,2
3,88,Yes,4,4,68,2
8,96,No,8,9,94,0
6,59,Yes,4,9,47,2
